Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2017-2018)
Dilantin,Phenytoin,1,"$2,040,428.08","1,740,689","17,191","2,518",$1.17,$118.69,$810.34,0,15.14%
Dilantin,Phenytoin Sodium Extended,1,"$33,715,652.15","27,565,450","215,414","29,687",$1.21,$156.52,"$1,135.70",0,14.57%
Dilantin-125,Phenytoin,1,"$466,386.18","782,561","2,141",569,$0.60,$217.84,$819.66,0,6.60%
Dilatrate-Sr,Isosorbide Dinitrate,1,"$171,792.71","46,156",594,169,$3.72,$289.21,"$1,016.52",0,5.50%
Dilaudid,Hydromorphone HCl,2,"$2,437,527.68","627,776","3,822",481,$4.09,$637.76,"$5,067.63",0,11.89%
Dilaudid,Hydromorphone HCl/PF,1,"$4,175.44",951,62,35,$5.91,$67.35,$119.30,1,72.23%
Dilt-XR,Diltiazem HCl,1,"$29,615,483.90","45,053,165","648,419","181,529",$0.66,$45.67,$163.14,0,10.98%
Diltiazem 12hr ER,Diltiazem HCl,2,"$26,840,384.51","10,853,336","137,573","41,584",$2.51,$195.10,$645.45,0,-0.05%
Diltiazem 24hr ER,Diltiazem HCl,4,"$33,560,606.62","48,046,415","818,601","215,236",$0.70,$41.00,$155.92,0,-0.84%
Diltiazem 24hr ER (Cd),Diltiazem HCl,10,"$143,179,650.86","161,447,244","2,859,235","654,320",$0.90,$50.08,$218.82,0,1.01%
Diltiazem 24hr ER (La),Diltiazem HCl,1,"$9,105,896.35","4,050,724","73,066","21,760",$2.25,$124.63,$418.47,0,2.26%
Diltiazem 24hr ER (XR),Diltiazem HCl,2,"$4,039,847.51","5,970,859","112,368","44,301",$0.68,$35.95,$91.19,0,0.67%
Diltiazem HCl*,Diltiazem HCl,5,"$29,294,367.94","96,751,450","934,163","227,385",$0.31,$31.36,$128.83,0,1.65%
Dimenhydrinate,Dimenhydrinate,1,"$17,572.27","1,777",24, ,$9.89,$732.18, ,1,-4.96%
Diovan,Valsartan,1,"$34,309,554.51","4,339,889","68,039","15,490",$7.99,$504.26,"$2,214.95",0,8.22%
Diovan HCT,Valsartan/Hydrochlorothiazide,1,"$12,529,417.64","1,275,097","21,627","4,807",$9.85,$579.34,"$2,606.49",0,9.80%
Dipentum,Olsalazine Sodium,1,"$4,502,407.01","337,522","2,312",377,$13.34,"$1,947.41","$11,942.72",0,3.89%
Diphenhydramine HCl*,Diphenhydramine HCl,7,"$812,461.85","1,015,221","39,193","13,953",$0.87,$20.73,$58.23,0,11.92%
Diphenoxylate-Atropine,Diphenoxylate HCl/Atropine,6,"$29,729,366.22","62,615,448","804,823","340,888",$0.47,$36.94,$87.21,0,0.08%
Diphtheria-Tetanus Toxoids-Ped,"Tetanus,Diphtheria Toxd Ped/PF",1,"$22,957.72",174,205,204,$131.94,$111.99,$112.54,1,81.21%
Diprolene,Betamethasone/Propylene Glyc,1,"$26,821.66","6,695",124,71,$4.02,$216.30,$377.77,0,1.06%
Dipyridamole,Dipyridamole,4,"$2,916,133.93","4,514,533","37,121","7,945",$0.64,$78.56,$367.04,0,35.26%
Disopyramide Phosphate,Disopyramide Phosphate,3,"$3,724,577.32","2,424,903","16,836","3,258",$1.55,$221.23,"$1,143.21",0,-1.52%
Disulfiram,Disulfiram,5,"$2,398,807.05","1,212,710","32,014","9,261",$2.00,$74.93,$259.02,0,-11.54%
Ditropan XL,Oxybutynin Chloride,1,"$677,271.63","107,395","1,600",395,$6.31,$423.29,"$1,714.61",0,0.28%
Diuril,Chlorothiazide,1,"$8,721.11","27,935",172,47,$0.31,$50.70,$185.56,0,10.53%
Divalproex Sodium,Divalproex Sodium,11,"$133,783,675.10","301,659,905","3,364,967","447,814",$0.41,$39.76,$298.75,0,-0.67%
Divalproex Sodium ER,Divalproex Sodium,12,"$176,543,985.70","144,788,948","1,923,200","261,369",$1.22,$91.80,$675.46,0,-20.76%
Divigel,Estradiol,1,"$1,682,786.39","408,756","8,995","2,309",$4.12,$187.08,$728.79,0,9.38%
Dobutamine HCl,Dobutamine HCl,1,"$45,416.36","145,045",410,45,$0.31,$110.77,"$1,009.25",0,28.04%
Dobutamine HCl In Dextrose,Dobutamine HCl In Dextrose 5 %,2,"$19,539.67","186,302",173,26,$0.11,$112.95,$751.53,0,36.62%
Docetaxel,Docetaxel,6,"$1,049,782.22","9,283","1,010",278,$124.09,"$1,039.39","$3,776.20",1,-35.95%
Dofetilide,Dofetilide,5,"$128,081,999.17","25,066,183","255,852","45,901",$5.11,$500.61,"$2,790.40",0,-8.10%
Dolophine HCl,Methadone HCl,1,"$9,447.22","15,163",73, ,$0.62,$129.41, ,0,2.40%
Donepezil HCl,Donepezil HCl,23,"$127,774,018.34","354,367,544","8,264,543","1,400,819",$0.37,$15.46,$91.21,0,-8.49%
Donepezil HCl ODT,Donepezil HCl,5,"$1,745,100.19","2,513,485","58,226","13,848",$0.69,$29.97,$126.02,0,-3.73%
Doptelet,Avatrombopag Maleate,1,"$3,160,142.81","3,370",270,227,$937.73,"$11,704.23","$13,921.33",0, 
Doribax,Doripenem,1,"$29,769.03","11,492",75,22,$4.34,$396.92,"$1,353.14",1,240.48%
Doripenem,Doripenem,1,"$66,586.35","7,990",117,38,$8.42,$569.11,"$1,752.27",1,-52.39%
Doryx,Doxycycline Hyclate,1,"$114,481.07","4,598",92,35,$34.58,"$1,244.36","$3,270.89",1,13.84%
Doryx Mpc,Doxycycline Hyclate,1,"$78,786.58","6,272",158,92,$12.56,$498.65,$856.38,0,0.99%
Dorzolamide HCl,Dorzolamide HCl,6,"$21,813,799.24","10,714,196","847,742","260,818",$2.04,$25.73,$83.64,0,-2.13%
Dorzolamide-Timolol,Dorzolamide HCl/Timolol Maleat,5,"$44,959,702.09","20,816,237","1,584,501","457,745",$2.16,$28.37,$98.22,0,4.11%
Dorzolamide-Timolol,Dorzolamide/Timolol/PF,1,"$1,480,656.72","736,399","7,817","5,657",$2.01,$189.41,$261.74,0, 
Dovonex,Calcipotriene,1,"$408,435.25","37,860",345,124,$10.79,"$1,183.87","$3,293.83",0,10.27%
Doxazosin Mesylate,Doxazosin Mesylate,14,"$89,228,313.37","174,147,246","2,601,549","554,080",$0.52,$34.30,$161.04,0,7.56%
Doxepin HCl*,Doxepin HCl,9,"$251,146,076.29","79,075,635","1,138,831","262,179",$1.75,$220.53,$957.92,0,-5.01%
Doxercalciferol*,Doxercalciferol,4,"$3,602,099.20","346,602","6,777","1,458",$10.55,$531.52,"$2,470.58",0,-28.74%
Doxil,Doxorubicin HCl PEG-Liposomal,1,"$132,140.02","1,090",38, ,$121.23,"$3,477.37", ,1,7.91%
Doxorubicin HCl,Doxorubicin HCl,5,"$38,890.73","34,607",612,205,$1.16,$63.55,$189.71,0,-18.86%
Doxorubicin HCl Liposome,Doxorubicin HCl PEG-Liposomal,2,"$337,915.71","4,520",126,39,$74.75,"$2,681.87","$8,664.51",0,-7.31%
Doxy 100,Doxycycline Hyclate,3,"$362,639.62","204,977","1,770",511,$1.88,$204.88,$709.67,0,49.62%
Doxycycline Hyclate*,Doxycycline Hyclate,30,"$124,181,760.28","115,373,133","4,156,610","2,840,547",$1.14,$29.88,$43.72,0,-1.81%
Doxycycline Ir-Dr,Doxycycline Monohydrate,1,"$10,364,061.10","632,380","13,953","4,151",$16.39,$742.78,"$2,496.76",0,-1.93%
Doxycycline Monohydrate,Doxycycline Monohydrate,17,"$23,389,859.08","35,143,111","1,243,169","915,893",$0.69,$18.81,$25.54,0,6.50%
Dronabinol,Dronabinol,8,"$39,887,883.34","7,660,188","135,901","42,021",$5.02,$293.51,$949.24,0,-9.47%
Droplet Pen Needle,"Pen Needle, Diabetic",1,"$311,428.23","981,050","8,460","3,145",$0.32,$36.81,$99.02,0,23.92%
Drospirenone-Eth Estra-Levomef,Drospir/Eth Estra/Levomefol Ca,1,"$47,631.31","14,532",342,78,$3.22,$139.27,$610.66,0,-20.16%
Drospirenone-Ethinyl Estradiol,Ethinyl Estradiol/Drospirenone,5,"$544,059.07","459,188","10,430","2,496",$1.19,$52.16,$217.97,0,-8.87%
Droxia,Hydroxyurea,1,"$185,425.88","233,029","3,770",786,$0.79,$49.18,$235.91,0,0.67%
Duac,Clindamycin Phos/Benzoyl Perox,1,"$17,859.73","2,250",50,20,$7.94,$357.19,$892.99,0,10.57%
Duavee,"Estrogens,Conj/Bazedoxifene",1,"$1,917,642.43","342,193","7,469","1,591",$5.60,$256.75,"$1,205.31",0,7.50%
Duet DHA 400,Prenatal Vit106/Iron/Folic/Om3,1,"$3,756.95","1,320",22, ,$2.85,$170.77, ,1,4.20%
Duet DHA Balanced,PNV 117/Iron/Folic/Om3/DHA/EPA,1,"$5,059.79","1,740",23, ,$2.91,$219.99, ,1,4.95%
Duetact,Pioglitazone HCl/Glimepiride,1,"$84,420.27","4,305",109,22,$19.67,$774.50,"$3,837.29",0,1.15%
Duexis,Ibuprofen/FAmotidine,1,"$39,986,520.43","1,455,245","16,656","5,893",$27.48,"$2,400.73","$6,785.43",0,10.44%
Dulera,Mometasone/Formoterol,1,"$143,329,818.56","5,775,266","326,514","97,681",$24.81,$438.97,"$1,467.33",0,26.87%
Duloxetine HCl,Duloxetine HCl,22,"$471,161,117.21","549,962,935","9,852,738","1,777,277",$0.86,$47.82,$265.10,0,-8.49%
Duopa,Carbidopa/Levodopa,1,"$1,744,708.37","808,500",255,30,$2.16,"$6,841.99","$58,156.95",0,1.45%
Dupixent,Dupilumab,1,"$101,803,038.04","138,330","32,059","5,220",$736.25,"$3,175.49","$19,502.50",0,2.38%
Duragesic,Fentanyl,1,"$23,096,674.44","201,629","14,707","1,602",$109.30,"$1,570.45","$14,417.40",0,8.69%
Duramorph,Morphine Sulfate/PF,1,"$81,782.69","35,811",30,12,$1.88,"$2,726.09","$6,815.22",1, 
Durezol,Difluprednate,1,"$108,064,288.74","3,063,719","584,846","362,943",$35.27,$184.77,$297.74,0,8.27%
Dutasteride,Dutasteride,13,"$54,768,870.30","50,623,550","871,995","193,016",$1.08,$62.81,$283.75,0,-12.06%
Dutasteride-Tamsulosin,Dutasteride/Tamsulosin HCl,4,"$17,765,092.12","5,050,758","86,175","21,069",$3.52,$206.15,$843.19,0,-4.28%
Dutoprol,Metoprolol Su/Hydrochlorothiaz,1,"$440,271.31","63,357","1,237",419,$6.95,$355.92,"$1,050.77",0,9.09%
Duzallo,Lesinurad/Allopurinol,1,"$681,115.08","54,810","1,367",387,$12.43,$498.26,"$1,759.99",0,0.91%
Dyanavel XR,Amphetamine,1,"$21,813.87","9,298",41,15,$2.35,$532.05,"$1,454.26",0, 
Dyazide,Triamterene/Hydrochlorothiazid,1,"$876,792.38","414,094","6,695","1,490",$2.12,$130.96,$588.45,0,1.13%
Dymista,Azelastine/Fluticasone,1,"$25,251,413.59","3,083,623","105,001","40,468",$8.19,$240.49,$623.98,0,7.59%
Dyrenium,Triamterene,2,"$3,881,641.85","376,100","6,325","1,585",$10.31,$613.70,"$2,448.99",0,9.68%
Dysport,Abobotulinumtoxina,1,"$838,636.10","1,094",630,248,$753.72,"$1,331.17","$3,381.60",0,2.57%
E.E.S. 200,Erythromycin Ethylsuccinate,1,"$1,050,815.37","284,220","1,358",178,$3.70,$773.80,"$5,903.46",0,3.87%
E.E.S. 400,Erythromycin Ethylsuccinate,1,"$263,772.27","23,285",552,304,$11.33,$477.85,$867.67,0,14.07%
Easy Comfort Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,$582.62,"3,870",52,19,$0.15,$11.20,$30.66,0,-12.99%
Easy Comfort Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,"$1,236,826.44","2,009,184","18,314","6,190",$0.61,$67.53,$199.81,0,8.62%
Easy Comfort Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,"$1,675,947.58","2,738,299","25,696","7,510",$0.61,$65.22,$223.16,0,8.75%
Easy Comfort Pen Needle,"Pen Needle, Diabetic",1,"$7,010,538.66","9,245,922","79,959","23,792",$0.76,$87.68,$294.66,0,17.59%
Easy Comfort Pen Needles,"Pen Needle, Diabetic",1,"$7,601,934.64","10,103,317","85,962","25,870",$0.75,$88.43,$293.85,0,16.71%
Easy Glide Pen Needle,"Pen Needle, Diabetic",1,"$110,994.64","162,870","1,291",609,$0.68,$85.98,$182.26,0, 
Easy Touch,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$222,472.71","996,647","9,864","3,792",$0.22,$22.55,$58.67,0,7.41%
Easy Touch,"Syringe And Needle,Insulin,1ml",1,"$338,669.55","1,596,715","14,962","5,291",$0.21,$22.64,$64.01,0,2.28%
Easy Touch,"Syringe-Needle,Insulin,0.5 Ml",1,"$802,110.89","3,754,356","34,353","11,530",$0.21,$23.35,$69.57,0,2.94%
Easy Touch Alcohol Prep Pads,Alcohol Antiseptic Pads,1,"$412,931.88","9,505,968","85,110","25,044",$0.04,$4.85,$16.49,0,2.89%
Easy Touch Fliplock Insulin,"Syringe,Needle,Insuln,Safe,1ml",1,"$5,055.06","19,510",142,72,$0.26,$35.60,$70.21,0,-6.16%
Easy Touch Insulin Safety,"Syringe,Needle,Insuln,Safe,1ml",1,"$7,639.07","25,721",255,80,$0.30,$29.96,$95.49,0,-0.68%
Easy Touch Insulin Safety,"Syringe,Needle,Insuln,Sf 0.5ml",1,"$14,245.08","46,876",545,196,$0.30,$26.14,$72.68,0,-0.68%
Easy Touch Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$22,198.72","100,080","1,062",426,$0.22,$20.90,$52.11,0,0.49%
Easy Touch Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,"$87,048.48","395,283","3,707","1,368",$0.22,$23.48,$63.63,0,5.89%
Easy Touch Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",1,"$61,010.38","283,736","2,602",895,$0.22,$23.45,$68.17,0,2.54%
Easy Touch Pen Needle,"Pen Needle, Diabetic",1,"$4,637,677.78","19,033,620","164,919","56,191",$0.24,$28.12,$82.53,0,3.80%
Easy Touch Sheathlock Insulin,"Syringe,Needle,Insuln,Safe,1ml",1,"$5,297.60","17,251",187,58,$0.31,$28.33,$91.34,0,2.33%
Easy-Touch Insulin Syringe,"Syringe And Needle,Insulin,1ml",2,"$493,941.68","2,276,564","20,630","7,320",$0.22,$23.94,$67.48,0,3.65%
Ec-Naprosyn,Naproxen,1,"$2,830.10","1,210",22, ,$2.34,$128.64, ,1,-1.78%
Eclipse Syringe,"Syringe And Needle,Insulin,1ml",1,"$2,168.27","5,463",64,33,$0.40,$33.88,$65.71,0,0.03%
Econazole Nitrate,Econazole Nitrate,6,"$24,799,650.33","15,648,786","224,821","121,126",$1.56,$110.31,$204.74,0,-31.99%
Edarbi,Azilsartan Medoxomil,1,"$21,445,104.41","3,474,536","73,040","16,125",$6.17,$293.61,"$1,329.93",0,4.46%
Edarbyclor,Azilsartan Med/Chlorthalidone,1,"$18,750,563.02","3,108,465","67,752","14,490",$6.03,$276.75,"$1,294.03",0,4.35%
Edecrin,Ethacrynic Acid,1,"$2,665,101.55","110,689","1,389",339,$24.08,"$1,918.72","$7,861.66",0,13.25%
Edluar,Zolpidem Tartrate,1,"$327,261.99","26,499",694,222,$12.35,$471.56,"$1,474.15",0,1.55%
Edurant,Rilpivirine HCl,1,"$34,950,354.02","985,600","31,699","4,045",$35.46,"$1,102.57","$8,640.38",0,7.89%
Efavirenz,Efavirenz,5,"$19,522,865.71","807,744","23,890","3,854",$24.79,$817.20,"$5,065.61",0, 
Effer-K,Potassium Bicarbonate/Cit Ac,1,"$65,640.54","188,142","3,134","1,146",$0.36,$20.94,$57.28,0,12.85%
Effexor XR,Venlafaxine HCl,1,"$32,250,090.39","2,239,846","34,194","5,223",$14.42,$943.15,"$6,174.63",0,14.90%
Effient,Prasugrel HCl,1,"$18,684,610.51","1,253,852","30,095","9,998",$14.90,$620.85,"$1,868.83",0,2.93%
Efudex,Fluorouracil,1,"$62,996.44","9,880",236,197,$6.38,$266.93,$319.78,0,-24.94%
Egrifta,Tesamorelin Acetate,1,"$22,667,857.87","282,836","4,550",730,$80.14,"$4,981.95","$31,051.86",0,6.79%
Elaprase,Idursulfase,1,"$5,531,353.83","5,139",77, ,"$1,076.35","$71,835.76", ,0,0.98%
Elelyso,Taliglucerase Alfa,1,"$3,568,489.11","4,548",107, ,$784.63,"$33,350.37", ,0,0.29%
Elestat,Epinastine HCl,1,"$60,550.10","1,350",178,68,$44.85,$340.17,$890.44,0,3.59%
Elestrin,Estradiol,1,"$499,224.23","128,116","2,213",756,$3.90,$225.59,$660.35,0,6.08%
Eletriptan HBr,Eletriptan Hydrobromide,6,"$10,964,187.53","560,045","45,728","12,041",$19.59,$239.77,$910.57,0,-27.64%
Elidel,Pimecrolimus,1,"$23,236,495.04","2,469,675","44,635","26,559",$9.41,$520.59,$874.90,0,12.88%
Eligard,Leuprolide Acetate,1,"$2,042,873.08","1,328","1,326",637,"$1,538.94","$1,540.63","$3,207.02",0,0.93%
Elinest,Norgestrel-Ethinyl Estradiol,1,"$88,925.38","144,383","3,557",604,$0.62,$25.00,$147.23,0,9.49%
Eliquis,Apixaban,1,"$4,992,184,164.40","713,809,249","9,091,996","1,646,841",$7.00,$549.07,"$3,031.37",0,9.04%
Elite-Ob,Prenatal No.123/Iron/Folic Ac,1,"$24,806.30","21,036",484,143,$1.18,$51.25,$173.47,0,2.05%
Elitek,Rasburicase,1,"$189,101.48",93,18,15,"$3,313.11","$10,505.64","$12,606.77",1,-4.76%
Elixophyllin,Theophylline Anhydrous,2,"$431,262.87","607,393",667,149,$0.71,$646.57,"$2,894.38",0,-0.75%
Ella,Ulipristal Acetate,1,"$21,367.29",579,406,271,$36.90,$52.63,$78.85,0,0.34%
Elmiron,Pentosan Polysulfate Sodium,1,"$97,569,110.92","11,014,912","96,552","20,866",$8.86,"$1,010.53","$4,675.99",0,8.87%
Elocon,Mometasone Furoate,1,"$59,572.06","24,900",475,277,$2.40,$125.41,$215.06,0,1.97%
Emadine,Emedastine Difumarate,1,"$7,089.36",265,43,27,$26.75,$164.87,$262.57,0,4.84%
Embeda,Morphine Sulfate/Naltrexone,1,"$35,014,067.00","3,290,973","71,024","13,669",$10.57,$492.99,"$2,561.57",0,5.38%
Emcyt,Estramustine Phosphate Sodium,1,"$278,032.18","17,150",206,69,$16.21,"$1,349.67","$4,029.45",0,14.54%
Emend,Aprepitant,1,"$584,135.21","2,952",663,300,$214.20,$881.05,"$1,947.12",0,6.44%
Emend,Fosaprepitant Dimeglumine,1,"$560,899.54","1,669","1,088",333,$336.07,$515.53,"$1,684.38",0,9.23%
Emflaza,Deflazacort,1,"$3,523,040.79","17,456",509,56,$218.12,"$6,921.49","$62,911.44",0,13.60%
Emgality Pen,Galcanezumab-Gnlm,1,"$789,936.63","1,354",917,677,$583.41,$861.44,"$1,166.82",0, 
Emoquette,Desogestrel-Ethinyl Estradiol,1,"$31,686.19","50,568","1,314",364,$0.63,$24.11,$87.05,0,11.95%
Empliciti,Elotuzumab,1,"$3,295,274.57","1,527",313,51,"$2,173.74","$10,528.03","$64,613.23",0,-2.39%
Emsam,Selegiline,1,"$11,416,803.01","204,292","6,263","1,135",$55.89,"$1,822.90","$10,058.86",0,2.80%
Emtriva,Emtricitabine,1,"$8,521,223.97","617,487","18,400","2,524",$17.78,$463.11,"$3,376.08",0,0.89%
Emverm,Mebendazole,2,"$2,860,971.05","7,336","1,777","1,436",$389.83,"$1,610.00","$1,992.32",0,4.40%
Enablex,Darifenacin Hydrobromide,1,"$2,310,299.75","188,839","4,184",850,$12.23,$552.17,"$2,718.00",0,5.15%
Enalapril Maleate,Enalapril Maleate,11,"$102,790,021.73","255,786,955","3,174,881","652,819",$0.40,$32.38,$157.46,0,-2.95%
Enalapril-Hydrochlorothiazide,Enalapril/Hydrochlorothiazide,5,"$3,725,413.61","14,165,282","199,297","44,931",$0.26,$18.69,$82.91,0,10.09%
Enalaprilat,Enalaprilat Dihydrate,1,"$2,298.47",689,18, ,$3.34,$127.69, ,1, 
Enbrace Hr,Prenatal92/Iron/Folate8/Ps-DHA,1,"$358,187.32","78,614","1,592",429,$4.56,$224.99,$834.94,0,1.58%
Enbrel,Etanercept,1,"$611,605,535.46","543,772","109,207","15,458","$1,176.36","$5,600.42","$39,565.63",0,10.30%
Enbrel Mini,Etanercept,1,"$45,597,783.46","36,269","8,123","2,146","$1,257.22","$5,613.42","$21,247.80",0,9.09%
Enbrel Sureclick,Etanercept,1,"$1,247,769,463.30","996,244","218,062","30,839","$1,252.47","$5,722.09","$40,460.76",0,9.95%
Endari,Glutamine,1,"$4,479,214.12","237,132","1,578",641,$18.89,"$2,838.54","$6,987.85",0, 
Endocet,Oxycodone HCl/Acetaminophen,1,"$6,718,171.24","14,457,246","148,829","28,844",$0.45,$45.14,$232.91,0,-10.61%
Endometrin,"Progesterone, Micronized",1,"$8,555.98",741,21,15,$11.55,$407.43,$570.40,1,9.11%
Engerix-B Adult,Hepatitis B Virus Vaccine/PF,1,"$244,829.70","3,204","3,137","2,037",$76.39,$78.05,$120.19,0,8.04%
Engerix-B Pediatric-Adolescent,Hepatitis B Virus Vaccine/PF,1,"$4,548.98",53,61,52,$85.64,$74.57,$87.48,0,17.40%
Enoxaparin Sodium,Enoxaparin Sodium,7,"$172,385,716.71","8,577,703","714,960","361,720",$20.81,$241.11,$476.57,0,-16.37%
Enpresse,Levonorgestrel-Ethin Estradiol,1,"$64,781.50","104,499","2,804",442,$0.62,$23.10,$146.56,0,-0.84%
Enskyce,Desogestrel-Ethinyl Estradiol,1,"$101,117.32","195,549","4,423","1,216",$0.52,$22.86,$83.16,0,14.13%
Enstilar,Calcipotriene/Betamethasone,1,"$4,397,481.32","267,720","3,478","1,763",$16.43,"$1,264.37","$2,494.32",0,9.23%
Entacapone,Entacapone,9,"$41,739,252.13","18,834,425","149,137","23,548",$2.23,$279.87,"$1,772.52",0,-9.12%
Entecavir,Entecavir,11,"$54,556,451.34","3,573,295","99,574","14,361",$15.63,$547.90,"$3,798.93",0,-22.57%
Entocort EC,Budesonide,2,"$1,121,869.11","48,957",517,136,$22.91,"$2,169.96","$8,249.04",0,1.19%
Entresto,Sacubitril/Valsartan,1,"$476,575,743.08","61,501,574","766,812","150,731",$7.75,$621.50,"$3,161.76",0,11.18%
Entyvio,Vedolizumab,1,"$23,881,087.01","15,698","3,636",819,"$1,521.28","$6,567.96","$29,158.84",1,18.57%
Enulose,Lactulose,1,"$1,249,563.96","57,869,680","62,290","22,075",$0.02,$20.06,$56.61,0,13.10%
Envarsus XR,Tacrolimus,1,"$716,795.77","98,256","1,034",211,$8.09,$693.23,"$3,397.14",0,1.28%
Epaned,Enalapril Maleate,1,"$392,644.48","116,698",334,81,$3.36,"$1,175.58","$4,847.46",0,10.15%
Epclusa,Sofosbuvir/Velpatasvir,1,"$896,454,302.85","1,022,022","36,786","13,779",$877.14,"$24,369.44","$65,059.46",0,-2.25%
Epidiolex,Cannabidiol (Cbd) Extract,1,"$540,463.01","42,950",235,185,$12.58,"$2,299.84","$2,921.42",0, 
Epiduo,Adapalene/Benzoyl Peroxide,1,"$159,106.32","35,010",744,404,$4.54,$213.85,$393.83,0,-35.71%
Epiduo Forte,Adapalene/Benzoyl Peroxide,1,"$325,812.93","29,685",594,331,$10.98,$548.51,$984.33,0,9.98%
Epifoam,Hydrocortisone/Pramoxine,1,"$11,306.83","1,356",125,89,$8.34,$90.45,$127.04,0,4.11%
Epinastine HCl,Epinastine HCl,4,"$2,598,379.98","268,609","43,255","16,343",$9.68,$60.07,$158.99,0,-8.20%
Epinephrine,Epinephrine,7,"$66,608,368.02","460,419","227,020","196,641",$144.51,$293.40,$338.73,0,-2.47%
Epipen 2-Pak,Epinephrine,1,"$26,849,892.90","89,527","43,683","39,451",$299.91,$614.65,$680.59,0,-0.02%
Epipen Jr 2-Pak,Epinephrine,1,"$303,935.66",981,479,413,$309.82,$634.52,$735.92,0,1.18%
Epitol,Carbamazepine,1,"$2,561,818.34","5,048,309","38,297","10,408",$0.51,$66.89,$246.14,0,3.69%
Epivir,Lamivudine,1,"$344,685.28","152,569","1,088",235,$6.56,$316.81,"$1,466.75",0,43.18%
Epivir Hbv,Lamivudine,1,"$313,531.14","204,975","1,075",212,$3.81,$291.66,"$1,478.92",0,-29.76%
Eplerenone,Eplerenone,7,"$30,543,029.14","13,230,861","201,544","43,385",$2.30,$151.55,$704.00,0,-3.81%
Epogen,Epoetin Alfa,1,"$9,191,268.63","50,829","16,267","4,326",$196.56,$565.03,"$2,124.66",0,-1.84%
Eprosartan Mesylate,Eprosartan Mesylate,1,"$180,899.64","70,321",998,291,$2.57,$181.26,$621.65,0,-0.52%
Epzicom,Abacavir Sulfate/Lamivudine,1,"$7,590,943.57","181,522","5,822","1,148",$41.82,"$1,303.84","$6,612.32",0,-0.39%
Equetro,Carbamazepine,1,"$2,013,944.24","509,184","5,743",896,$3.96,$350.68,"$2,247.71",0,6.09%
Eraxis (Water Diluent),Anidulafungin,1,"$365,692.87","19,948",501,132,$18.91,$729.93,"$2,770.40",1,34.53%
Erbitux,Cetuximab,1,"$4,448,111.15","357,660",551,123,$12.44,"$8,072.80","$36,163.51",0,4.40%
Ergoloid Mesylates,Ergoloid Mesylates,1,"$680,921.61","113,571",713,165,$6.00,$955.01,"$4,126.80",0,3.05%
Ergomar,Ergotamine Tartrate,1,"$102,496.63","1,802",95,53,$56.88,"$1,078.91","$1,933.90",0,14.12%
Ergotamine-Caffeine,Ergotamine Tartrate/Caffeine,1,"$1,372,086.40","146,438","2,658",977,$9.37,$516.21,"$1,404.39",0,1.49%
Erivedge,Vismodegib,1,"$111,714,374.02","281,507","9,857","2,160",$396.84,"$11,333.51","$51,719.62",0,0.67%
Erleada,Apalutamide,1,"$87,331,270.48","936,810","7,738","1,811",$93.22,"$11,286.03","$48,222.68",0, 
Errin,Norethindrone,2,"$101,878.86","181,370","4,165","1,382",$0.56,$24.46,$73.72,0,16.99%
Ertaczo,Sertaconazole Nitrate,1,"$646,171.65","47,070",566,319,$13.73,"$1,141.65","$2,025.62",0,20.85%
Ertapenem,Ertapenem Sodium,3,"$18,506,964.56","1,415,056","28,670","12,702",$14.12,$645.52,"$1,457.01",1, 
Ery,Erythromycin Base In Ethanol,1,"$28,552.24","26,310",398,270,$1.09,$71.74,$105.75,0,-0.82%
Ery-Tab,Erythromycin Base,1,"$3,978,717.71","528,339","9,460","4,598",$7.92,$420.58,$865.31,0,9.97%
Erygel,Erythromycin Base In Ethanol,1,"$19,321.24","6,390",91,49,$3.02,$212.32,$394.31,0,-28.71%
Eryped 200,Erythromycin Ethylsuccinate,1,"$1,058,355.91","275,948","1,100",241,$3.84,$962.14,"$4,391.52",0,3.85%
Eryped 400,Erythromycin Ethylsuccinate,1,"$1,462,409.26","215,476","1,055",206,$6.79,"$1,386.17","$7,099.07",0,-0.02%
Erythrocin Stearate,Erythromycin Stearate,1,"$2,349,204.97","239,008","4,034","1,805",$9.83,$582.35,"$1,301.50",0,12.48%
Erythromycin,Erythromycin Base In Ethanol,7,"$2,336,429.38","1,993,551","33,352","18,864",$1.29,$70.05,$123.86,0,-5.27%
Erythromycin Ethylsuccinate,Erythromycin Ethylsuccinate,3,"$4,700,737.84","1,432,795","8,603","2,727",$4.91,$546.41,"$1,723.78",0,-10.71%
Erythromycin*,Erythromycin Base,7,"$34,118,748.25","5,936,992","1,021,040","685,080",$3.57,$33.42,$49.80,0,-3.62%
